,Regime
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,WARMUP
2020-06-08,WARMUP
2020-06-09,WARMUP
2020-06-10,WARMUP
2020-06-11,WARMUP
2020-06-12,WARMUP
2020-06-15,WARMUP
2020-06-16,WARMUP
2020-06-17,WARMUP
2020-06-18,WARMUP
2020-06-19,WARMUP
2020-06-22,WARMUP
2020-06-23,WARMUP
2020-06-24,WARMUP
2020-06-25,WARMUP
2020-06-26,WARMUP
2020-06-29,WARMUP
2020-06-30,WARMUP
2020-07-01,WARMUP
2020-07-02,WARMUP
2020-07-06,WARMUP
2020-07-07,WARMUP
2020-07-08,WARMUP
2020-07-09,WARMUP
2020-07-10,WARMUP
2020-07-13,WARMUP
2020-07-14,WARMUP
2020-07-15,WARMUP
2020-07-16,WARMUP
2020-07-17,WARMUP
2020-07-20,WARMUP
2020-07-21,WARMUP
2020-07-22,WARMUP
2020-07-23,WARMUP
2020-07-24,WARMUP
2020-07-27,WARMUP
2020-07-28,WARMUP
2020-07-29,WARMUP
2020-07-30,WARMUP
2020-07-31,WARMUP
2020-08-03,WARMUP
2020-08-04,WARMUP
2020-08-05,WARMUP
2020-08-06,WARMUP
2020-08-07,WARMUP
2020-08-10,WARMUP
2020-08-11,WARMUP
2020-08-12,WARMUP
2020-08-13,WARMUP
2020-08-14,WARMUP
2020-08-17,WARMUP
2020-08-18,WARMUP
2020-08-19,WARMUP
2020-08-20,WARMUP
2020-08-21,WARMUP
2020-08-24,WARMUP
2020-08-25,WARMUP
2020-08-26,WARMUP
2020-08-27,WARMUP
2020-08-28,WARMUP
2020-08-31,WARMUP
2020-09-01,WARMUP
2020-09-02,WARMUP
2020-09-03,WARMUP
2020-09-04,WARMUP
2020-09-08,WARMUP
2020-09-09,WARMUP
2020-09-10,WARMUP
2020-09-11,WARMUP
2020-09-14,WARMUP
2020-09-15,WARMUP
2020-09-16,WARMUP
2020-09-17,WARMUP
2020-09-18,WARMUP
2020-09-21,WARMUP
2020-09-22,WARMUP
2020-09-23,WARMUP
2020-09-24,WARMUP
2020-09-25,WARMUP
2020-09-28,WARMUP
2020-09-29,WARMUP
2020-09-30,WARMUP
2020-10-01,WARMUP
2020-10-02,WARMUP
2020-10-05,WARMUP
2020-10-06,WARMUP
2020-10-07,WARMUP
2020-10-08,WARMUP
2020-10-09,WARMUP
2020-10-12,WARMUP
2020-10-13,WARMUP
2020-10-14,WARMUP
2020-10-15,WARMUP
2020-10-16,WARMUP
2020-10-19,WARMUP
2020-10-20,WARMUP
2020-10-21,WARMUP
2020-10-22,WARMUP
2020-10-23,WARMUP
2020-10-26,WARMUP
2020-10-27,WARMUP
2020-10-28,WARMUP
2020-10-29,WARMUP
2020-10-30,WARMUP
2020-11-02,WARMUP
2020-11-03,WARMUP
2020-11-04,WARMUP
2020-11-05,WARMUP
2020-11-06,WARMUP
2020-11-09,WARMUP
2020-11-10,WARMUP
2020-11-11,WARMUP
2020-11-12,WARMUP
2020-11-13,WARMUP
2020-11-16,WARMUP
2020-11-17,WARMUP
2020-11-18,WARMUP
2020-11-19,WARMUP
2020-11-20,WARMUP
2020-11-23,WARMUP
2020-11-24,WARMUP
2020-11-25,WARMUP
2020-11-27,WARMUP
2020-11-30,WARMUP
2020-12-01,WARMUP
2020-12-02,WARMUP
2020-12-03,WARMUP
2020-12-04,WARMUP
2020-12-07,WARMUP
2020-12-08,WARMUP
2020-12-09,WARMUP
2020-12-10,WARMUP
2020-12-11,WARMUP
2020-12-14,WARMUP
2020-12-15,WARMUP
2020-12-16,WARMUP
2020-12-17,WARMUP
2020-12-18,WARMUP
2020-12-21,WARMUP
2020-12-22,WARMUP
2020-12-23,WARMUP
2020-12-24,WARMUP
2020-12-28,WARMUP
2020-12-29,WARMUP
2020-12-30,WARMUP
2020-12-31,WARMUP
2021-01-04,WARMUP
2021-01-05,WARMUP
2021-01-06,WARMUP
2021-01-07,WARMUP
2021-01-08,WARMUP
2021-01-11,WARMUP
2021-01-12,WARMUP
2021-01-13,WARMUP
2021-01-14,WARMUP
2021-01-15,WARMUP
2021-01-19,WARMUP
2021-01-20,WARMUP
2021-01-21,WARMUP
2021-01-22,WARMUP
2021-01-25,WARMUP
2021-01-26,WARMUP
2021-01-27,WARMUP
2021-01-28,WARMUP
2021-01-29,WARMUP
2021-02-01,WARMUP
2021-02-02,WARMUP
2021-02-03,WARMUP
2021-02-04,WARMUP
2021-02-05,WARMUP
2021-02-08,WARMUP
2021-02-09,WARMUP
2021-02-10,WARMUP
2021-02-11,WARMUP
2021-02-12,WARMUP
2021-02-16,WARMUP
2021-02-17,WARMUP
2021-02-18,WARMUP
2021-02-19,WARMUP
2021-02-22,WARMUP
2021-02-23,WARMUP
2021-02-24,WARMUP
2021-02-25,WARMUP
2021-02-26,WARMUP
2021-03-01,WARMUP
2021-03-02,WARMUP
2021-03-03,WARMUP
2021-03-04,WARMUP
2021-03-05,WARMUP
2021-03-08,WARMUP
2021-03-09,WARMUP
2021-03-10,WARMUP
2021-03-11,WARMUP
2021-03-12,WARMUP
2021-03-15,WARMUP
2021-03-16,WARMUP
2021-03-17,WARMUP
2021-03-18,WARMUP
2021-03-19,BROAD_BULL
2021-03-22,BROAD_BULL
2021-03-23,BROAD_BULL
2021-03-24,BROAD_BULL
2021-03-25,BROAD_BULL
2021-03-26,BROAD_BULL
2021-03-29,BROAD_BULL
2021-03-30,BROAD_BULL
