,NTSX,Platinum,F-TAA Weekly,SPY
2020-06-01,100000.0,100000.0,100000.0,100000.0
2020-06-02,100349.93585786276,100634.33891563166,100000.0,100827.98938788792
2020-06-03,100860.48245978894,100948.08626748892,100000.0,102169.85149274657
2020-06-04,100280.02895517639,100256.45932365519,100000.0,101901.43291208771
2020-06-05,101684.62500565531,101204.90967951344,100000.0,104513.14800988279
2020-06-08,102858.11963566682,101897.31711124997,99850.0,105776.46171380917
2020-06-09,102632.38163623016,102279.17254245267,99850.0,104987.74652638739
2020-06-10,102412.29894468306,103621.11993325544,99854.9893676858,104401.86469749441
2020-06-11,99071.39844453493,97880.04587972665,99854.9893676858,98383.21849187839
2020-06-12,99738.5058603584,98759.45734174344,99854.9893676858,99561.44450586246
2020-06-15,100432.28443790617,100089.82475717692,99854.9893676858,100490.9082726237
2020-06-16,101259.9661119357,101952.6958279652,99854.9893676858,102425.11456257348
2020-06-17,100867.1958575417,102213.04654710552,99859.99674752928,101999.67611286195
2020-06-18,101275.72800231175,102550.13712128295,99863.9684283044,102038.9503133281
2020-06-19,100846.43540470843,102504.28371513322,99864.99512129388,101455.79959925699
2020-06-22,101258.76207864308,103907.82567293492,99859.99674752924,102106.6511877849
2020-06-23,101366.28590025936,104891.6371371117,99859.99674752924,102576.71066838842
2020-06-24,100051.18965786483,102473.29196533925,99859.99674752924,99960.1103370388
2020-06-25,100911.30725908025,103515.2667111041,99859.99674752924,101031.78440656529
2020-06-26,99881.93176560901,100625.26104864673,99854.98936768576,98632.0576719131
2020-06-29,100844.50165426877,101904.15614616922,99864.99512129388,100081.7411126254
2020-06-30,101226.72749588803,104575.3956258297,99864.99512129388,101363.74948983928
2020-07-01,101069.14507798485,105726.15628340119,99860.98741620332,102073.76241070505
2020-07-02,101493.58505656036,106483.89018258316,99866.95844648434,102635.91046713217
2020-07-06,102193.7851450021,109318.70959570835,99860.98741620337,104220.26479504521
2020-07-07,102005.55460692327,108386.73709333324,99860.98741620337,103145.39801382559
2020-07-08,102261.17452353118,110013.9518584408,99860.98741620337,103934.30553327709
2020-07-09,102228.44670948648,110792.23681633931,99870.95714549604,103342.65374349292
2020-07-10,102946.05055188508,111603.7969015421,99874.93783235004,104397.82572487055
2020-07-13,102645.88140345039,109199.52861623492,99870.95714549604,103493.82671884248
2020-07-14,103615.09171814822,110213.37292203621,99865.99479604684,104835.03489480015
2020-07-15,104406.50644996985,110621.45273091739,99865.99479604684,105798.15676676008
2020-07-16,104349.55202664342,109653.43457323022,99865.99479604684,105449.72806174318
2020-07-17,104332.95096154828,109920.83385500737,99865.99479604684,105755.45905616517
2020-07-20,104798.47401550211,114197.24208114087,99865.99479604684,106610.06719696453
2020-07-21,105318.06911005155,113185.971475368,99865.99479604684,106836.90359280077
2020-07-22,105798.98919580792,113938.77726655231,99865.99479604684,107445.05747073378
2020-07-23,105660.59833887189,110933.42023136994,99865.99479604684,106163.01062711398
2020-07-24,105212.98984087788,109993.64268884751,99865.99479604684,105479.27026150616
2020-07-27,105632.43125699615,112196.4463811369,99865.99479604684,106248.55991392756
2020-07-28,105487.0716013059,110337.18786619406,99865.99479604684,105574.6284818348
2020-07-29,106519.84027951087,112240.33037433312,99870.95714549602,106873.06201438565
2020-07-30,106548.00736138658,112894.24831297678,99865.9947960468,106491.7445322889
2020-07-31,106834.27539817014,115100.07746024118,99870.95714549602,107333.27409506819
2020-08-03,107191.39896993128,116553.85678369855,99871.9478141701,108079.48390392475
