,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2007-12-04,101225.77528586586,100000.0,102083.95404815594,96326.67239263313
2007-12-05,101667.03838648928,100000.0,102083.95404815594,97939.25270131478
2007-12-06,102501.8577656605,100000.0,102106.1638660009,99341.01333589602
2007-12-07,101896.07113817276,100000.0,102195.37221548776,99321.29278708415
2007-12-10,102256.92273995181,100000.0,102128.50394670716,100091.29512952497
2007-12-11,101434.70516283828,100000.0,102262.21877379146,97346.8354024894
2007-12-12,102017.08844364746,100000.0,102239.95467975429,98307.73666160139
2007-12-13,101279.5829803662,100000.0,102284.52628878238,98103.72408049187
2007-12-14,100046.00657894081,100000.0,102217.63630952491,96859.82794071423
2007-12-17,99538.93406757167,100000.0,102262.21877379146,95477.68775063618
2007-12-18,100146.42093819418,100000.0,102262.21877379146,96010.84329871726
2007-12-19,100653.89350677148,100000.0,102306.7469618658,96010.84329871726
2007-12-20,100991.94184768423,100000.0,102351.37284708611,96616.2741576723
2007-12-21,101469.41012564796,100000.0,102351.37284708611,98009.02540447147
2007-12-24,101803.35788017687,100000.0,102351.37284708611,98736.88383295394
2007-12-26,101842.76351518267,100000.0,102306.7469618658,98948.60444583256
2007-12-27,101430.90461936058,100000.0,102351.37284708611,97704.70830605492
2007-12-28,101925.47534297405,100000.0,102349.10410225249,97459.85316700002
2007-12-31,101728.34715364299,100000.0,102326.74231106938,96738.70172719975
2008-01-02,102169.11018275614,100586.2893606446,102416.15691008655,95891.81927568527
2008-01-03,101959.28017706533,100777.26214251465,102349.10410225249,95845.47098076197
2008-01-04,100455.06507430563,100465.38987242932,102326.74231106938,93496.62348166789
2008-01-07,100347.64971390908,100307.20045578865,102416.15691008655,93417.240764877
2008-01-08,99345.30637881218,100779.15574362696,102349.10410225249,91908.66883292391
2008-01-09,100031.10444793606,100848.7828690567,102282.0947153722,92874.67541177908
2008-01-10,99908.38689932661,101353.14508260372,102326.74231106938,93483.40971292087
2008-01-11,99657.8510727034,101377.71812697822,102371.48760391251,92729.12374694431
2008-01-14,100432.46184204341,101746.29855479341,102460.83707149902,93476.80282854736
2008-01-15,99450.22138165758,101155.13393304287,102438.5078460312,91419.05865912282
2008-01-16,98761.42288347233,100759.03988956145,102438.5078460312,90631.73827127868
2008-01-17,97576.85349004909,100644.44213819463,102393.75169794966,88282.89077218462
2008-01-18,96707.52917667228,100975.8743525561,102460.83707149902,87376.4462569998
2008-01-22,96454.49299249794,101120.26395297293,102505.57150910371,86489.82239493552
2008-01-23,97695.67048087878,101034.64854987292,102617.30447835024,88567.38721748062
2008-01-24,97718.77378465122,101763.62724121282,102661.9520740474,89315.06629908364
2008-01-25,97697.97080982581,101742.76724186349,102550.2299600393,88024.82186438268
2008-01-28,98761.22285486826,102149.77019349967,102594.89926621335,89480.43861703898
2008-01-29,98758.52246871302,102046.06673084105,102684.3681414227,89923.80060022544
2008-01-30,98115.93057807267,102330.69502777401,102728.97231616611,89262.11111978683
2008-01-31,99563.93764308297,102259.11655229356,102728.97231616611,90889.80717908061
2008-02-01,100647.79263434671,101780.37337824826,102717.802275813,92351.93071180172
2008-02-04,99653.8505006216,101613.5342622547,102740.18577747302,91187.51739312363
2008-02-05,98205.54339270516,101085.34427774933,102673.0244172546,88746.07340849165
2008-02-06,97545.84905641507,101348.93295726595,102762.63441056365,88031.5288530649
2008-02-07,97282.11134192189,101631.79976606077,102740.18577747303,88613.73551240393
2008-02-08,97605.15753752788,102005.65119882059,102740.18577747303,88044.74262181194
2008-02-11,98105.82913356612,102141.95789875256,102762.63441056365,88494.61138506324
2008-02-12,98247.24935665801,101572.30107400264,102740.18577747303,89315.06629908364
2008-02-13,98644.00609287129,101763.31344121923,102762.63441056365,90228.117698642
2008-02-14,97821.78851575775,101753.00522694326,102784.99620174679,89434.19042642433
2008-02-15,97980.1111558953,101587.95253281124,102784.99620174679,89414.2696689951
2008-02-19,98152.33578401712,102231.85695261916,102784.99620174679,89665.7316924235
2008-02-20,98649.90693669196,102717.68912961976,102740.18577747306,89930.40748459895
2008-02-21,98384.26895045993,102691.61435888408,102829.7957707821,89182.72840299593
2008-02-22,98651.70719412877,102742.6127174799,102829.7957707821,89731.90064046737
2008-02-25,99324.50340398678,102595.55608873825,102784.99620174679,90863.27953727785
