Portfolio,Start,End,Years,Total Return %,CAGR %,Volatility %,Sharpe,Sortino,Max Drawdown %,Calmar,Positive Months %,Best Year %,Worst Year %,Final Equity,NTSX %,Platinum %,F-TAA %
grid,2007-12-05,2026-08-12,18.66,239.06,6.76,11.78,0.445,0.553,-23.04,0.293,63.56,27.25,-14.65,339060.76,0.0,0.0,100.0
grid,2007-12-05,2026-08-12,18.66,247.72,6.91,11.78,0.456,0.57,-22.66,0.305,61.78,27.35,-14.37,347722.39,0.0,2.0,98.0
grid,2007-12-05,2026-08-12,18.66,256.58,7.05,11.78,0.468,0.585,-22.28,0.316,62.22,27.45,-14.08,356579.88,0.0,4.0,96.0
grid,2007-12-05,2026-08-12,18.66,265.64,7.19,11.78,0.479,0.601,-21.9,0.328,62.22,27.55,-13.8,365636.96,0.0,6.0,94.0
grid,2007-12-05,2026-08-12,18.66,274.9,7.34,11.79,0.49,0.616,-21.52,0.341,62.67,27.64,-13.51,374897.39,0.0,8.0,92.0
grid,2007-12-05,2026-08-12,18.66,284.37,7.48,11.81,0.501,0.631,-21.13,0.354,62.67,27.74,-13.22,384365.02,0.0,10.0,90.0
grid,2007-12-05,2026-08-12,18.66,294.04,7.62,11.82,0.512,0.645,-20.9,0.365,62.67,27.83,-12.93,394043.72,0.0,12.0,88.0
grid,2007-12-05,2026-08-12,18.66,303.94,7.77,11.84,0.522,0.66,-20.83,0.373,62.67,27.93,-12.64,403937.44,0.0,14.0,86.0
grid,2007-12-05,2026-08-12,18.66,314.05,7.91,11.86,0.533,0.674,-20.76,0.381,62.22,28.03,-12.35,414050.16,0.0,16.0,84.0
grid,2007-12-05,2026-08-12,18.66,324.39,8.05,11.89,0.543,0.687,-20.68,0.389,61.78,28.12,-12.05,424385.93,0.0,18.0,82.0
grid,2007-12-05,2026-08-12,18.66,334.95,8.2,11.92,0.553,0.701,-20.61,0.398,62.22,28.22,-11.76,434948.85,0.0,20.0,80.0
grid,2007-12-05,2026-08-12,18.66,345.74,8.34,11.95,0.563,0.714,-20.53,0.406,62.67,28.31,-11.47,445743.07,0.0,22.0,78.0
grid,2007-12-05,2026-08-12,18.66,356.77,8.48,11.99,0.572,0.727,-20.46,0.414,62.67,28.4,-11.57,456772.8,0.0,24.0,76.0
grid,2007-12-05,2026-08-12,18.66,368.04,8.62,12.03,0.582,0.739,-20.39,0.423,62.67,28.5,-11.91,468042.31,0.0,26.0,74.0
grid,2007-12-05,2026-08-12,18.66,379.56,8.76,12.07,0.591,0.751,-20.31,0.431,63.11,28.59,-12.25,479555.9,0.0,28.0,72.0
grid,2007-12-05,2026-08-12,18.66,391.32,8.9,12.12,0.6,0.763,-20.24,0.44,63.11,28.69,-12.59,491317.94,0.0,30.0,70.0
grid,2007-12-05,2026-08-12,18.66,403.33,9.05,12.17,0.608,0.774,-20.17,0.448,64.0,28.78,-12.93,503332.88,0.0,32.0,68.0
grid,2007-12-05,2026-08-12,18.66,415.61,9.19,12.22,0.617,0.784,-20.1,0.457,64.0,28.87,-13.26,515605.17,0.0,34.0,66.0
grid,2007-12-05,2026-08-12,18.66,428.14,9.33,12.28,0.625,0.795,-20.02,0.466,64.0,28.97,-13.6,528139.37,0.0,36.0,64.0
grid,2007-12-05,2026-08-12,18.66,440.94,9.47,12.34,0.633,0.805,-19.95,0.475,64.0,29.06,-13.94,540940.07,0.0,38.0,62.0
grid,2007-12-05,2026-08-12,18.66,454.01,9.61,12.4,0.641,0.815,-19.88,0.483,64.44,29.15,-14.27,554011.9,0.0,40.0,60.0
grid,2007-12-05,2026-08-12,18.66,467.36,9.75,12.46,0.648,0.824,-19.8,0.492,64.0,29.24,-14.61,567359.58,0.0,42.0,58.0
