Portfolio,Start,End,Years,Total Return %,CAGR %,Volatility %,Sharpe,Sortino,Max Drawdown %,Calmar,Positive Months %,Best Year %,Worst Year %,Final Equity,NTSX %,Platinum %,F-TAA %
grid,2007-12-05,2026-09-04,18.73,625.08,11.16,12.47,0.751,0.963,-19.29,0.578,64.16,28.69,-17.79,725901.91,26.0,54.0,20.0
grid,2007-12-05,2026-09-04,18.73,618.81,11.11,12.65,0.738,0.94,-19.22,0.578,63.27,29.34,-17.75,719369.23,18.0,56.0,26.0
grid,2007-12-05,2026-09-04,18.73,641.86,11.29,12.22,0.773,1.007,-19.57,0.577,66.37,27.36,-18.0,743284.48,44.0,50.0,6.0
grid,2007-12-05,2026-09-04,18.73,636.56,11.25,12.31,0.765,0.989,-19.49,0.577,65.49,28.02,-17.94,737717.77,36.0,52.0,12.0
grid,2007-12-05,2026-09-04,18.73,630.8,11.2,12.45,0.755,0.969,-19.41,0.577,64.6,28.67,-17.89,731693.64,28.0,54.0,18.0
grid,2007-12-05,2026-09-04,18.73,630.91,11.2,12.32,0.761,0.983,-19.4,0.577,64.6,28.03,-17.84,731994.12,34.0,52.0,14.0
grid,2007-12-05,2026-09-04,18.73,624.59,11.15,12.62,0.743,0.947,-19.33,0.577,62.83,29.33,-17.84,725223.67,20.0,56.0,24.0
grid,2007-12-05,2026-09-04,18.73,619.37,11.11,12.49,0.746,0.956,-19.24,0.577,63.72,28.7,-17.7,720126.59,24.0,54.0,22.0
grid,2007-12-05,2026-09-04,18.73,612.1,11.05,12.87,0.724,0.917,-19.16,0.577,62.83,30.0,-17.71,712408.56,10.0,58.0,32.0
grid,2007-12-05,2026-09-04,18.73,647.45,11.34,12.22,0.777,1.012,-19.69,0.576,66.81,27.34,-18.09,748947.6,46.0,50.0,4.0
grid,2007-12-05,2026-09-04,18.73,642.23,11.3,12.31,0.769,0.995,-19.6,0.576,65.93,28.0,-18.03,743455.86,38.0,52.0,10.0
grid,2007-12-05,2026-09-04,18.73,636.54,11.25,12.43,0.759,0.976,-19.52,0.576,65.04,28.65,-17.98,737501.45,30.0,54.0,16.0
grid,2007-12-05,2026-09-04,18.73,630.4,11.2,12.6,0.747,0.954,-19.44,0.576,62.83,29.31,-17.93,731095.84,22.0,56.0,22.0
grid,2007-12-05,2026-09-04,18.73,625.27,11.16,12.34,0.757,0.977,-19.38,0.576,64.6,28.05,-17.75,726285.23,32.0,52.0,16.0
grid,2007-12-05,2026-09-04,18.73,623.81,11.15,12.8,0.734,0.932,-19.37,0.576,63.27,29.97,-17.89,724251.28,14.0,58.0,28.0
grid,2007-12-05,2026-09-04,18.73,617.94,11.1,12.83,0.729,0.925,-19.26,0.576,63.27,29.98,-17.8,718320.24,12.0,58.0,30.0
grid,2007-12-05,2026-09-04,18.73,613.04,11.06,12.68,0.733,0.933,-19.19,0.576,63.27,29.36,-17.66,713532.84,16.0,56.0,28.0
grid,2007-12-05,2026-09-04,18.73,653.05,11.38,12.22,0.78,1.017,-19.8,0.575,66.81,27.33,-18.19,754623.15,48.0,50.0,2.0
grid,2007-12-05,2026-09-04,18.73,648.06,11.34,12.41,0.767,0.988,-19.74,0.575,65.49,28.62,-18.17,749164.0,34.0,54.0,12.0
grid,2007-12-05,2026-09-04,18.73,647.9,11.34,12.3,0.772,1.001,-19.71,0.575,65.93,27.98,-18.13,749208.05,40.0,52.0,8.0
