Date,Description,Cash_Flow,Cash_Balance,Positions_Value,Total_Equity,Daily_PnL,Total_PnL
2026-07-01,"Opening deposit $10,000; 5 rebalance trades",-9999.99,0.01,9991.99,9992.0,-8.0,-8.0
2026-07-02,Mark-to-market,0.0,0.01,9687.59,9687.6,-304.4,-312.4
2026-07-06,6 rebalance trades,-0.01,-0.0,9826.91,9826.91,139.31,-173.09
2026-07-07,Mark-to-market,0.0,-0.0,9405.05,9405.05,-421.86,-594.95
2026-07-08,4 rebalance trades,0.01,0.01,9445.44,9445.45,40.4,-554.55
2026-07-09,Mark-to-market,0.0,0.01,9661.71,9661.72,216.27,-338.28
2026-07-10,7 rebalance trades,0.01,0.02,9710.65,9710.67,48.95,-289.33
2026-07-13,Mark-to-market,0.0,0.02,9420.46,9420.48,-290.18,-579.52
2026-07-14,Mark-to-market,0.0,0.02,9612.03,9612.05,191.57,-387.95
2026-07-15,5 rebalance trades,-0.01,0.01,9446.7,9446.71,-165.34,-553.29
2026-07-16,Mark-to-market,0.0,0.01,9184.84,9184.85,-261.86,-815.15
2026-07-17,6 rebalance trades,-0.02,-0.01,9012.09,9012.08,-172.76,-987.92
2026-07-20,Mark-to-market,0.0,-0.01,9052.59,9052.58,40.5,-947.42
2026-07-21,Mark-to-market,0.0,-0.01,9487.34,9487.33,434.74,-512.67
2026-07-22,5 rebalance trades,-0.02,-0.03,9422.84,9422.81,-64.52,-577.19
2026-07-23,Mark-to-market,0.0,-0.03,9325.72,9325.69,-97.11,-674.31
2026-07-24,6 rebalance trades,0.0,-0.03,9051.8,9051.77,-273.92,-948.23
2026-07-27,Mark-to-market,0.0,-0.03,8899.77,8899.74,-152.02,-1100.26
2026-07-28,Mark-to-market,0.0,-0.03,8558.89,8558.86,-340.88,-1441.14
2026-07-29,5 rebalance trades,-0.02,-0.05,8222.19,8222.14,-336.72,-1777.86
2026-07-30,Mark-to-market,0.0,-0.05,8863.03,8862.98,640.84,-1137.02
2026-07-31,6 rebalance trades,0.01,-0.04,8851.75,8851.71,-11.27,-1148.29
2026-08-03,Mark-to-market,0.0,-0.04,8968.46,8968.42,116.71,-1031.58
2026-08-04,Mark-to-market,0.0,-0.04,9406.59,9406.55,438.12,-593.45
2026-08-05,6 rebalance trades,0.02,-0.02,9236.4,9236.38,-170.17,-763.62
2026-08-06,Mark-to-market,0.0,-0.02,9212.1,9212.08,-24.3,-787.92
2026-08-07,7 rebalance trades,-0.01,-0.03,9277.9,9277.87,65.79,-722.13
2026-08-10,Mark-to-market,0.0,-0.03,9108.15,9108.12,-169.75,-891.88
2026-08-11,Mark-to-market,0.0,-0.03,9128.02,9127.99,19.86,-872.01
2026-08-12,3 rebalance trades,3.02,2.99,9280.7,9283.69,155.7,-716.31
2026-08-13,Mark-to-market,0.0,2.99,9320.21,9323.2,39.51,-676.8
2026-08-14,8 rebalance trades,-3.01,-0.02,9297.83,9297.81,-25.39,-702.19
2026-08-17,Mark-to-market,0.0,-0.02,9355.21,9355.19,57.38,-644.81
2026-08-18,Mark-to-market,0.0,-0.02,9090.47,9090.45,-264.74,-909.55
2026-08-19,7 rebalance trades,-0.01,-0.03,8924.5,8924.47,-165.99,-1075.53
2026-08-20,Mark-to-market,0.0,-0.03,8894.62,8894.59,-29.87,-1105.41
2026-08-21,8 rebalance trades,-0.01,-0.04,8870.82,8870.78,-23.82,-1129.22
2026-08-24,Mark-to-market,0.0,-0.04,8736.41,8736.37,-134.41,-1263.63
2026-08-25,Mark-to-market,0.0,-0.04,8818.71,8818.67,82.3,-1181.33
2026-08-26,7 rebalance trades,-0.01,-0.05,8833.53,8833.48,14.81,-1166.52
2026-08-27,Mark-to-market,0.0,-0.05,8928.12,8928.07,94.59,-1071.93
2026-08-28,9 rebalance trades,0.01,-0.04,8772.01,8771.97,-156.1,-1228.03
2026-08-31,Mark-to-market,0.0,-0.04,8762.78,8762.74,-9.23,-1237.26
2026-09-01,Mark-to-market,0.0,-0.04,8640.02,8639.98,-122.76,-1360.02
2026-09-02,5 rebalance trades,-0.01,-0.05,8650.31,8650.26,10.29,-1349.74
2026-09-03,Mark-to-market,0.0,-0.05,8701.78,8701.73,51.47,-1298.27
2026-09-04,7 rebalance trades,0.02,-0.03,8887.51,8887.48,185.75,-1112.52
2026-09-07,Mark-to-market,0.0,-0.03,8887.51,8887.48,0.0,-1112.52
2026-09-08,Mark-to-market,0.0,-0.03,9158.47,9158.44,270.96,-841.56
