Date,Description,Cash_Flow,Cash_Balance,Positions_Value,Total_Equity,Daily_PnL,Total_PnL
2026-07-01,"Opening deposit $10,000; 5 rebalance trades",-9999.99,0.01,9991.96,9991.97,-8.03,-8.03
2026-07-02,Mark-to-market,0.0,0.01,9687.57,9687.58,-304.39,-312.42
2026-07-06,6 rebalance trades,-0.01,-0.0,9826.88,9826.88,139.3,-173.12
2026-07-07,Mark-to-market,0.0,-0.0,9405.02,9405.02,-421.86,-594.98
2026-07-08,4 rebalance trades,0.01,0.01,9445.41,9445.42,40.4,-554.58
2026-07-09,Mark-to-market,0.0,0.01,9661.68,9661.69,216.27,-338.31
2026-07-10,7 rebalance trades,0.01,0.02,9710.58,9710.6,48.91,-289.4
2026-07-13,5 rebalance trades,-0.01,0.01,9420.27,9420.28,-290.31,-579.72
2026-07-14,Mark-to-market,0.0,0.01,9615.22,9615.23,194.94,-384.77
2026-07-15,4 rebalance trades,0.0,0.01,9446.0,9446.01,-169.22,-553.99
2026-07-16,Mark-to-market,0.0,0.01,9184.26,9184.27,-261.74,-815.73
2026-07-17,6 rebalance trades,-0.01,-0.0,9011.43,9011.43,-172.84,-988.57
2026-07-20,6 rebalance trades,-0.02,-0.02,9051.84,9051.82,40.38,-948.18
2026-07-21,Mark-to-market,0.0,-0.02,9483.77,9483.75,431.93,-516.25
2026-07-22,6 rebalance trades,0.0,-0.02,9419.21,9419.19,-64.56,-580.81
2026-07-23,Mark-to-market,0.0,-0.02,9322.12,9322.1,-97.09,-677.9
2026-07-24,6 rebalance trades,0.01,-0.01,9048.34,9048.33,-273.77,-951.67
2026-07-27,5 rebalance trades,-0.01,-0.02,8896.26,8896.24,-152.09,-1103.76
