Strategy,Years,CAGR_%,Max_DD_%,Calmar,Sharpe,Sortino,Vol_%,Beta,Alpha_%,Best_Year_%,Worst_Year_%,Final_$,w_Sys_E_Original,w_R3_Vol_Adj,w_R7_Full_Kelly
grid,22.5,12.08,-20.73,0.583,1.106,1.777,8.8,0.123,10.31,41.9,-17.9,1300405,0,0,100
grid,22.5,12.39,-20.89,0.593,1.128,1.814,8.9,0.131,10.51,42.8,-18.2,1386019,0,5,95
grid,22.5,12.71,-21.07,0.603,1.148,1.845,9.0,0.139,10.71,43.7,-18.5,1476901,0,10,90
grid,22.5,13.03,-21.25,0.613,1.166,1.879,9.1,0.147,10.91,44.7,-18.7,1573348,0,15,85
grid,22.5,13.35,-21.48,0.621,1.181,1.905,9.2,0.155,11.11,45.6,-19.0,1675675,0,20,80
grid,22.5,13.66,-21.72,0.629,1.195,1.929,9.4,0.162,11.31,46.6,-19.3,1784212,0,25,75
grid,22.5,13.98,-21.97,0.636,1.207,1.95,9.5,0.17,11.51,47.5,-19.5,1899304,0,30,70
grid,22.5,14.3,-22.22,0.643,1.217,1.969,9.7,0.178,11.71,48.5,-19.8,2021316,0,35,65
grid,22.5,14.61,-22.47,0.65,1.226,1.984,9.9,0.186,11.91,49.4,-20.0,2150629,0,40,60
grid,22.5,14.93,-22.72,0.657,1.233,1.997,10.0,0.194,12.11,50.4,-20.3,2287645,0,45,55
grid,22.5,15.24,-22.96,0.664,1.239,2.005,10.2,0.202,12.31,51.4,-20.6,2432785,0,50,50
grid,22.5,15.55,-23.21,0.67,1.244,2.014,10.4,0.209,12.51,52.3,-20.8,2586489,0,55,45
grid,22.5,15.87,-23.46,0.676,1.247,2.019,10.6,0.217,12.71,53.3,-21.1,2749219,0,60,40
grid,22.5,16.18,-23.7,0.683,1.25,2.022,10.8,0.225,12.91,54.3,-21.4,2921461,0,65,35
grid,22.5,16.49,-23.95,0.689,1.251,2.024,11.1,0.233,13.11,55.3,-21.6,3103723,0,70,30
grid,22.5,16.81,-24.19,0.695,1.252,2.022,11.3,0.241,13.31,56.3,-21.9,3296536,0,75,25
grid,22.5,17.12,-24.44,0.7,1.252,2.02,11.5,0.248,13.51,57.3,-22.1,3500458,0,80,20
grid,22.5,17.43,-24.68,0.706,1.251,2.016,11.8,0.256,13.72,58.3,-22.4,3716071,0,85,15
grid,22.5,17.74,-24.93,0.712,1.25,2.011,12.0,0.264,13.92,59.3,-22.6,3943987,0,90,10
grid,22.5,18.05,-25.17,0.717,1.248,2.003,12.3,0.272,14.12,60.3,-22.9,4184844,0,95,5
grid,22.5,18.36,-25.42,0.723,1.246,1.994,12.5,0.28,14.32,61.3,-23.2,4439309,0,100,0
grid,22.5,13.08,-20.68,0.632,1.161,1.885,9.2,0.144,11.0,47.2,-18.1,1588472,5,0,95
grid,22.5,13.4,-20.89,0.641,1.178,1.914,9.3,0.152,11.19,48.2,-18.3,1692259,5,5,90
grid,22.5,13.71,-21.13,0.649,1.194,1.941,9.4,0.159,11.39,49.2,-18.6,1802350,5,10,85
grid,22.5,14.03,-21.37,0.657,1.208,1.968,9.6,0.167,11.59,50.1,-18.9,1919114,5,15,80
