Strategy,Years,CAGR_%,Max_DD_%,Calmar,Sharpe,Sortino,Vol_%,Beta,Alpha_%,Best_Year_%,Worst_Year_%,Final_$,w_Sys_E_Original,w_R7_Full_Kelly,w_Platinum
grid,18.5,13.95,-26.05,0.536,0.835,1.055,14.5,0.468,8.36,43.0,-24.0,1117232,0,0,100
grid,18.5,13.83,-25.7,0.538,0.855,1.087,13.9,0.449,8.39,41.2,-23.6,1094151,0,5,95
grid,18.5,13.69,-25.36,0.54,0.876,1.121,13.4,0.431,8.42,39.5,-23.3,1070633,0,10,90
grid,18.5,13.55,-25.02,0.542,0.898,1.158,12.8,0.412,8.45,37.8,-23.0,1046727,0,15,85
grid,18.5,13.41,-24.68,0.543,0.921,1.196,12.3,0.394,8.48,36.1,-22.7,1022484,0,20,80
grid,18.5,13.26,-24.35,0.545,0.944,1.238,11.8,0.376,8.52,34.4,-22.4,997954,0,25,75
grid,18.5,13.11,-24.01,0.546,0.968,1.285,11.3,0.357,8.55,32.7,-22.1,973186,0,30,70
grid,18.5,12.95,-23.68,0.547,0.991,1.333,10.8,0.339,8.58,31.0,-21.8,948228,0,35,65
grid,18.5,12.78,-23.35,0.548,1.015,1.385,10.4,0.32,8.62,29.4,-21.5,923129,0,40,60
grid,18.5,12.62,-23.02,0.548,1.037,1.441,10.0,0.302,8.65,27.8,-21.2,897935,0,45,55
grid,18.5,12.44,-22.69,0.548,1.058,1.497,9.6,0.284,8.68,26.4,-20.9,872692,0,50,50
grid,18.5,12.26,-22.36,0.548,1.076,1.55,9.3,0.265,8.72,27.9,-20.6,847443,0,55,45
grid,18.5,12.08,-22.07,0.547,1.09,1.601,9.0,0.247,8.75,29.5,-20.3,822232,0,60,40
grid,18.5,11.89,-21.8,0.546,1.1,1.645,8.7,0.228,8.79,31.0,-20.0,797101,0,65,35
grid,18.5,11.7,-21.57,0.542,1.104,1.679,8.5,0.21,8.83,32.6,-19.7,772088,0,70,30
grid,18.5,11.5,-21.39,0.538,1.1,1.696,8.4,0.192,8.86,34.1,-19.4,747234,0,75,25
grid,18.5,11.3,-21.2,0.533,1.09,1.697,8.3,0.173,8.9,35.7,-19.1,722573,0,80,20
grid,18.5,11.09,-21.02,0.528,1.071,1.681,8.2,0.155,8.93,37.2,-18.8,698142,0,85,15
grid,18.5,10.88,-20.83,0.522,1.045,1.658,8.3,0.136,8.97,38.8,-18.5,673972,0,90,10
grid,18.5,10.66,-20.74,0.514,1.012,1.621,8.4,0.118,9.01,40.3,-18.2,650096,0,95,5
grid,18.5,10.44,-20.73,0.504,0.973,1.576,8.5,0.1,9.05,41.9,-17.9,626542,0,100,0
grid,18.5,14.79,-25.76,0.574,0.884,1.128,14.5,0.47,9.07,42.5,-23.8,1278244,5,0,95
grid,18.5,14.66,-25.42,0.577,0.905,1.163,14.0,0.451,9.1,40.8,-23.5,1251509,5,5,90
grid,18.5,14.52,-25.08,0.579,0.926,1.201,13.4,0.433,9.13,39.0,-23.2,1224190,5,10,85
grid,18.5,14.38,-24.74,0.581,0.949,1.241,12.9,0.414,9.16,37.3,-22.8,1196414,5,15,80
grid,18.5,14.23,-24.41,0.583,0.972,1.283,12.4,0.396,9.19,35.6,-22.5,1168257,5,20,75
grid,18.5,14.08,-24.07,0.585,0.995,1.328,11.9,0.378,9.23,33.9,-22.2,1139788,5,25,70
grid,18.5,13.92,-23.74,0.586,1.018,1.378,11.5,0.359,9.26,32.3,-21.9,1111066,5,30,65
grid,18.5,13.76,-23.4,0.588,1.041,1.432,11.0,0.341,9.29,30.6,-21.6,1082148,5,35,60
grid,18.5,13.59,-23.07,0.589,1.063,1.49,10.6,0.322,9.33,29.5,-21.3,1053091,5,40,55
grid,18.5,13.42,-22.74,0.59,1.084,1.546,10.2,0.304,9.36,31.1,-21.0,1023946,5,45,50
grid,18.5,13.24,-22.42,0.591,1.102,1.602,9.9,0.286,9.4,32.7,-20.7,994768,5,50,45
grid,18.5,13.06,-22.13,0.59,1.117,1.655,9.6,0.267,9.43,34.3,-20.4,965605,5,55,40
grid,18.5,12.87,-21.9,0.588,1.128,1.704,9.3,0.249,9.47,36.0,-20.1,936507,5,60,35
grid,18.5,12.68,-21.71,0.584,1.134,1.742,9.1,0.23,9.5,37.6,-19.8,907521,5,65,30
grid,18.5,12.48,-21.52,0.58,1.133,1.765,8.9,0.212,9.54,39.2,-19.5,878692,5,70,25
grid,18.5,12.28,-21.34,0.576,1.127,1.771,8.8,0.194,9.57,40.8,-19.2,850062,5,75,20
grid,18.5,12.08,-21.15,0.571,1.113,1.769,8.8,0.175,9.61,42.4,-18.9,821671,5,80,15
grid,18.5,11.86,-20.97,0.566,1.091,1.756,8.8,0.157,9.65,44.0,-18.6,793557,5,85,10
grid,18.5,11.65,-20.79,0.56,1.064,1.724,8.8,0.138,9.68,45.6,-18.4,765741,5,90,5
grid,18.5,11.43,-20.68,0.553,1.03,1.68,8.9,0.12,9.72,47.2,-18.1,738229,5,95,0
grid,18.5,15.62,-25.48,0.613,0.928,1.199,14.6,0.472,9.77,42.0,-23.6,1460138,10,0,90
grid,18.5,15.48,-25.14,0.616,0.95,1.237,14.1,0.453,9.81,40.3,-23.3,1429081,10,5,85
grid,18.5,15.34,-24.8,0.619,0.971,1.277,13.6,0.435,9.84,38.6,-23.0,1397400,10,10,80
grid,18.5,15.2,-24.47,0.621,0.994,1.319,13.1,0.416,9.87,36.9,-22.7,1365204,10,15,75
grid,18.5,15.05,-24.13,0.624,1.016,1.366,12.6,0.398,9.9,35.2,-22.4,1332584,10,20,70
