Strategy,Schedule,Full_CAGR_%,Full_MaxDD_%,Full_Calmar,Full_Rank,Mean_Rank_4P,Worst_Rank_4P,Top3_Count_4P,Rank_H1,Rank_H2,Calmar_P1,Calmar_P2,Calmar_P3,Calmar_P4
E80/R3 Blend,Mon +1d,31.48,-27.55,1.142,5,5.0,7,1,5,5,2.91,1.67,2.9,0.74
E80/R3 Blend,Fri +2d,32.43,-24.5,1.323,1,5.0,12,2,10,1,1.95,1.48,4.28,0.91
E80/R3 Blend,Mon +3d,33.39,-30.51,1.095,6,6.5,13,1,2,8,2.94,1.93,1.83,0.66
E80/R3 Blend,Tue +2d,33.35,-32.45,1.028,11,6.5,12,2,1,11,1.85,2.32,3.26,0.59
E80/R3 Blend,Fri +1d,32.32,-26.75,1.208,2,6.5,15,2,15,2,1.89,1.08,3.45,1.02
E80/R3 Blend,Fri +3d,31.6,-27.58,1.146,4,7.0,13,0,14,3,1.89,1.15,3.14,0.76
E80/R3 Blend,Tue +3d,32.74,-30.85,1.061,8,7.8,11,0,4,9,1.92,1.77,2.59,0.61
E80/R3 Blend,Mon +2d,31.47,-30.41,1.035,10,8.0,10,0,12,10,2.03,1.49,2.47,0.65
E80/R3 Blend,Tue +1d,32.34,-34.06,0.949,13,9.0,15,1,9,12,1.43,2.18,3.1,0.55
E80/R3 Blend,Wed +3d,29.88,-33.33,0.896,14,9.2,15,1,11,14,2.48,1.51,1.34,0.64
E80/R3 Blend,Thu +1d,30.39,-28.13,1.08,7,9.2,12,0,6,6,1.69,1.49,2.8,0.7
E80/R3 Blend,Thu +3d,30.29,-26.2,1.156,3,9.2,13,0,8,4,1.57,1.65,2.38,0.7
E80/R3 Blend,Wed +1d,29.76,-33.84,0.88,15,10.0,15,1,3,15,1.86,2.28,1.66,0.38
E80/R3 Blend,Wed +2d,30.23,-31.21,0.969,12,10.5,14,0,7,13,1.76,1.88,1.91,0.42
E80/R3 Blend,Thu +2d,29.92,-28.55,1.048,9,10.5,14,1,13,7,1.48,1.13,2.07,0.81
R3 Vol-Adj,Mon +3d,21.82,-24.74,0.882,4,3.2,7,2,1,6,2.14,2.88,3.35,0.43
R3 Vol-Adj,Thu +1d,18.87,-30.41,0.62,13,5.8,12,2,3,13,1.95,2.26,3.67,0.27
R3 Vol-Adj,Mon +1d,20.55,-23.32,0.881,5,6.8,9,0,12,4,1.95,2.1,3.18,0.46
R3 Vol-Adj,Fri +2d,21.3,-23.45,0.908,3,6.8,13,2,11,3,1.59,2.15,3.62,0.52
R3 Vol-Adj,Fri +3d,20.92,-20.52,1.02,1,6.8,15,1,9,1,1.42,2.31,3.32,0.56
R3 Vol-Adj,Mon +2d,20.45,-21.28,0.961,2,7.2,14,1,4,2,1.77,2.5,2.48,0.49
R3 Vol-Adj,Thu +3d,19.97,-25.64,0.779,7,7.2,13,1,13,7,1.89,1.98,3.79,0.41
R3 Vol-Adj,Thu +2d,20.4,-28.38,0.719,8,7.5,11,0,8,8,1.93,2.07,3.05,0.48
R3 Vol-Adj,Fri +1d,21.25,-24.55,0.865,6,7.5,15,2,2,5,1.72,2.49,2.42,0.65
R3 Vol-Adj,Wed +3d,19.32,-28.14,0.686,12,8.8,15,1,14,11,2.03,1.92,3.22,0.28
R3 Vol-Adj,Tue +2d,20.35,-28.36,0.718,9,10.0,12,0,7,9,1.62,2.23,2.78,0.31
R3 Vol-Adj,Wed +2d,18.29,-33.75,0.542,15,10.0,14,0,10,14,1.89,1.95,3.28,0.13
R3 Vol-Adj,Wed +1d,18.16,-32.66,0.556,14,10.2,15,0,5,15,1.75,2.34,2.78,0.12
R3 Vol-Adj,Tue +3d,19.32,-28.11,0.687,11,11.0,13,0,6,12,1.81,2.09,2.68,0.26
R3 Vol-Adj,Tue +1d,19.65,-28.58,0.688,10,11.2,14,0,15,10,1.52,2.04,3.03,0.31
System E,Mon +1d,34.1,-31.27,1.091,9,5.0,7,1,7,9,2.82,1.47,2.82,0.73
System E,Fri +2d,35.09,-26.44,1.327,1,5.0,12,2,11,1,1.88,1.25,4.15,0.93
System E,Tue +2d,36.56,-33.46,1.092,7,6.5,12,2,1,8,1.77,2.19,3.17,0.65
System E,Fri +1d,34.93,-28.5,1.225,2,6.8,15,2,15,2,1.8,0.86,3.59,1.05
System E,Fri +3d,34.15,-29.79,1.146,3,7.0,14,0,14,3,1.87,0.94,3.05,0.78
System E,Mon +3d,36.14,-35.34,1.022,11,7.2,13,1,3,12,2.78,1.71,1.71,0.69
System E,Tue +3d,36.04,-32.33,1.115,6,8.0,11,0,4,7,1.86,1.56,2.57,0.67
System E,Mon +2d,34.11,-32.65,1.045,10,8.5,11,0,12,10,1.94,1.28,2.35,0.67
System E,Wed +3d,32.31,-39.25,0.823,15,8.5,15,1,10,15,2.39,1.38,1.2,0.7
System E,Thu +1d,33.16,-29.61,1.12,5,8.5,12,0,5,4,1.59,1.3,2.72,0.75
System E,Tue +1d,35.48,-35.39,1.002,13,8.8,14,1,8,11,1.37,1.92,3.03,0.6
System E,Wed +1d,32.54,-35.36,0.92,14,9.8,15,1,2,14,1.82,2.18,1.56,0.43
System E,Thu +3d,32.74,-28.98,1.13,4,9.8,13,0,9,6,1.45,1.47,2.27,0.69
System E,Wed +2d,33.1,-32.5,1.018,12,10.2,14,0,6,13,1.69,1.78,1.81,0.47
System E,Thu +2d,32.11,-29.43,1.091,8,10.5,15,1,13,5,1.35,0.97,1.99,0.87
