,latest
sp500,7482.7099609375
gold,4086.5
net_liquidity_t,5.84098
net_liquidity_13w_chg,-0.1041129999999999
net_liquidity_26w_chg,0.0666089999999997
reserve_gdp,9.310622533850715
cp_sofr_bps,13.999999999999968
hy_spread,2.67
baa10y_spread,1.55
credit_spread_for_model,2.67
credit_spread_source,HY_OAS
credit_stress,False
vix,16.899999618530273
vix3m,19.459999084472656
vix_term_inverted,False
move,72.4093017578125
dxy,101.06600189208984
tnx_irx_curve,0.8459997177124023
t2108,46.0
sp_below_200dma,False
sp_200dma_diff,0.0750434486224882
liquidity_score,50
liquidity_divergence,False
d1_market_regime_score,5
d1_bear_prob12,29.95408907678611
d1_bull_prob,40.0
d1_bull_score,5.0
d1_etf_rotation_warning,False
d1_200ma_state,Bullish
d1_rwra_bearish_count,0
d1_rwra_bull_prob,70.0
d1_rwra_bear_prob,8.0
d1_rwra_crisis_prob,2.0
d1_gex_available,False
d1_market_pulse_available,False
d1_ml_meta_included,False
d2_sp500_overextension_status,Normal
d2_downward_momentum_status,Normal
d2_range_breakdown_status,Normal
d2_technical_deterioration_status,Normal
d2_breadth_worsening_status,Watch
d2_vix_spike_status,Normal
d2_breakout_failure_status,Warning
d2_theme_momentum_status,Warning
d2_sp500_overextension_score,0.0
d2_downward_momentum_score,0.0
d2_range_breakdown_score,0.0
d2_technical_deterioration_score,0.0
d2_breadth_worsening_score,1.0
d2_vix_spike_score,0.0
d2_breakout_failure_score,2.0
d2_theme_momentum_score,2.0
d2_score,5.0
d2_warning_count,2.0
d2_watch_count,1.0
d2_level,Elevated
d2_rsi14,53.34638671151172
d2_dist50,0.8872988698182205
d2_z20,0.5725998965146986
d2_momentum_count,1.0
d2_technical_count,0.0
d2_pct_above_50dma,48.0
d2_pct_above_200dma,54.0
d2_breadth_drop5,0.0
d2_vix,16.899999618530273
d2_vix_chg5,2.735555226262565
d2_breakout_win_rate,37.5968992248062
d2_breakdown_rate,0.0
d2_theme_worst_underperf,-8.943269375544617
d2_theme_worst_pct50,0.0
fwd_max_dd_4w,
drop_5_4w,False
drop_10_4w,False
drop_15_4w,False
drop_20_4w,False
fwd_max_dd_8w,
drop_5_8w,False
drop_10_8w,False
drop_15_8w,False
drop_20_8w,False
fwd_max_dd_13w,
drop_5_13w,False
drop_10_13w,False
drop_15_13w,False
drop_20_13w,False
fwd_max_dd_26w,
drop_5_26w,False
drop_10_26w,False
drop_15_26w,False
drop_20_26w,False
composite_risk_score,46.51072451435564
composite_risk_state,Watch
model_liquidity_only,False
model_correction_watch,False
model_confirmed_drop,False
model_crash_watch,False
model_crash_confirmed,False
