Year,Buy_Hold_SPY,Sys_E_Original,Sys_E_Trap_3Tier,R1_Linear,R2_Dual_Score,R3_Vol_Adj,R4_Regime_Mom,R5_Convex,R6_Concave,R7_Full_Kelly
2004,10.7,20.5,15.3,15.4,10.9,9.2,12.1,13.4,18.0,13.2
2005,7.0,46.9,27.6,32.9,20.2,22.7,18.5,24.7,46.2,32.9
2006,12.3,23.2,14.5,12.3,8.8,10.4,7.3,9.3,17.5,14.9
2007,6.7,65.1,27.1,43.1,28.8,26.9,27.1,34.6,56.2,21.0
2008,-36.8,11.1,6.7,-4.2,3.3,6.1,6.4,2.0,-14.4,10.1
2009,23.8,9.5,-2.6,7.2,4.7,5.6,4.2,4.3,11.4,-1.4
2010,15.1,19.8,22.1,23.8,18.8,23.7,15.5,20.3,29.3,16.3
2011,0.8,11.7,4.2,15.8,16.0,25.1,15.0,14.4,18.6,13.0
2012,12.1,16.4,27.7,20.5,14.9,20.1,16.6,17.5,24.5,13.0
2013,28.1,57.5,40.4,29.1,25.3,28.8,23.0,21.3,40.5,6.8
2014,16.2,25.3,28.1,23.0,18.9,20.3,19.5,20.0,27.5,15.0
2015,2.2,-12.1,2.2,3.8,3.7,3.8,5.3,3.7,3.5,3.9
2016,12.0,70.7,65.3,38.4,31.1,36.2,28.6,30.7,48.7,14.3
2017,19.7,39.8,28.1,22.7,18.2,25.0,14.3,17.8,29.7,9.1
2018,-7.7,10.1,-13.0,-0.7,0.3,-0.3,0.6,-0.5,-0.6,-0.6
2019,30.3,30.0,54.7,41.4,28.7,29.4,28.6,34.6,51.2,20.3
2020,16.6,170.5,139.1,109.4,71.8,54.7,75.5,87.6,138.3,38.8
2021,28.7,24.7,17.5,13.9,8.7,17.7,11.1,10.5,18.5,2.5
2022,-16.6,-13.6,-18.6,-19.6,-18.2,-19.1,-16.8,-18.0,-22.0,-14.4
2023,24.3,29.8,18.2,19.3,11.9,14.4,10.5,14.8,26.8,8.1
2024,28.8,57.2,42.7,32.8,21.5,23.4,21.0,25.6,42.9,15.3
2025,18.0,18.6,22.9,27.4,19.2,15.7,19.3,23.2,33.3,17.3
2026,9.0,69.0,51.0,45.2,32.4,27.6,33.0,35.2,60.1,14.6
