Date,Buy_Hold_SPY,Sys_E_Original,Sys_E_Trap_3Tier,R1_Linear,R2_Dual_Score,R3_Vol_Adj,R4_Regime_Mom,R5_Convex,R6_Concave,R7_Full_Kelly
2004-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2004-01-09,101042.90121052293,101978.8224196138,101978.8224196138,101891.183797507,101957.5172132013,101957.5172132013,101957.5172132013,101957.5172132013,101758.51696611835,101787.99848420473
2004-01-16,102697.15544519828,102488.32313958541,102488.32313958541,102508.78155864908,102493.31381866027,102493.31381866027,102493.31381866027,102493.31381866027,102539.39615081709,102532.62988284012
2004-01-23,102876.94992317166,102313.28830928143,102313.28830928143,102366.9100010632,102326.3398302269,102326.3398302269,102326.3398302269,102326.3398302269,102447.75249104435,102429.82183679253
2004-01-30,102022.84586428154,101853.2550407925,101853.2550407925,101848.06431658649,101846.34204227536,101846.34204227536,101821.80726957049,101839.26216235913,101875.08358445206,101889.78163740443
2004-02-06,102894.90347144754,102268.033406409,102268.033406409,102305.50274924474,102271.46800689117,102287.62037321758,102246.83082138775,102264.35857421224,102397.2710693459,102397.68067822851
2004-02-13,103506.28757502574,102952.4142891252,102952.4142891252,102974.24421685663,102949.77507778059,102961.13976112776,102920.142033564,102939.2747179852,103056.99432845876,103067.26666549766
2004-02-20,103281.45900913818,102661.25209511578,102661.25209511578,102698.92104709255,102664.94424815071,102681.06455886437,102639.64666856972,102658.43783613344,102789.38877027755,102789.5650010986
2004-02-27,103407.30996381526,103469.34882649414,103469.34882649414,103385.22472628193,103428.47602857726,103405.98256846791,103402.99030779464,103401.40379984393,103386.16349474853,103459.24127411477
2004-03-05,104630.06781116308,104508.69286548482,104508.69286548482,104467.03475258689,104484.64604870346,104474.96634832595,104470.49392373249,104468.10244180304,104489.59030419549,104536.02572390896
2004-03-12,101213.7448138798,104760.13290083683,104760.13290083683,103752.47320031268,104341.11059593881,104045.89736821096,104096.24288133005,104048.63272463222,103376.88102795099,104040.32804601625
2004-03-19,100197.2093162029,104676.39048716355,104676.39048716355,103525.34682858165,104208.40187011508,103925.81720123686,104024.46885920996,103898.81023498342,103019.6642687097,103761.0694317072
2004-03-26,100170.12877656464,104373.27898702394,104373.27898702394,103266.43027267998,103920.62986024453,103635.40429589614,103737.20478124586,103616.85217575332,102799.06467688721,103516.15127816716
2004-04-02,103427.03503935899,102728.82691526548,102728.82691526548,102530.10830639518,102610.80962815789,102263.05808985872,102114.23555900715,102461.11059666566,102720.08238718452,102903.96419204351
2004-04-09,103183.45521993462,102412.58655532246,102412.58655532246,102223.52651763262,102297.67415913622,101948.56146751347,101797.96227415714,102149.03356727536,102423.36842290929,102602.36045791005
2004-04-16,102696.24378204287,101498.75753856573,101498.75753856573,101375.94950410146,101406.83796329446,101055.79896992099,100911.47770642706,101267.29355525057,101633.08235559029,101774.7253591027
2004-04-23,103174.43182665802,100810.05873838144,100810.05873838144,100928.2296055756,100810.96157560211,100454.14043391166,100391.25136874382,100722.7372497665,101329.82140123025,101321.57621880094
2004-04-30,100106.97538343725,100271.87514020884,100271.87514020884,99879.71425155498,100077.37143819727,99732.06269861746,99660.71541576007,99882.7078151416,99967.6698871295,100276.75957996861
2004-05-07,99204.79145290928,98487.95364938154,98487.95364938154,98184.8730373314,98316.90941013453,97984.46271545562,97907.58278789763,98125.67011679207,98395.73326755724,98672.23342361124
2004-05-14,99276.999318739,98690.40118605796,98690.40118605796,98374.49089942631,98516.03388654,98181.56786025895,98114.06766710096,98324.40726995494,98567.24027259326,98848.3490696658
2004-05-21,99069.47163318652,98908.5308011072,98908.5308011072,98552.30624067516,98724.13347617928,98386.49620452784,98347.90117291815,98532.10207857838,98685.31598997548,98980.15250928946
2004-05-28,101821.14039115324,99964.23343181636,99964.23343181636,99762.02605356822,99816.30117813409,99499.90818364384,99329.94646035536,99622.14537100094,100135.89693132864,100381.74656319519
2004-06-04,101929.41075066345,99145.07785472958,99145.07785472958,99135.74431801889,99071.78897012735,98761.37387961149,98646.99538226328,98919.2789406479,99623.33840053804,99748.64702547467
2004-06-11,103165.39807357288,99210.7236371812,99210.7236371812,99436.67781241058,99227.63644758689,98943.86992103656,98873.41937665718,99124.31128141648,100068.74403456468,100047.83900977895
2004-06-18,102890.03436141313,99796.2429996979,99796.2429996979,99822.91720624814,99733.61833309129,99420.36135401526,99324.20654068224,99579.88299349522,100356.72140029355,100463.46364464356
2004-06-25,103080.16792835324,100360.60760812908,100360.60760812908,100287.1987746357,100256.69080647817,99928.93234689068,99821.30826112164,100073.58246934412,100781.97309816189,100953.61635965998
2004-07-02,102210.91782931345,101548.48458438496,101548.48458438496,101110.98494214189,101310.66508534376,100864.6182988186,100870.70546886527,101064.6975039402,101340.58642742448,101731.31208663335
2004-07-09,101169.60166950389,101477.81122369586,101477.81122369586,100841.91229883548,101163.74185181923,100657.27160513922,100724.42027566372,100876.31997491069,100950.46534893228,101463.63038525304
2004-07-16,100246.03509405877,102094.59516943022,102094.59516943022,101224.2874442705,101699.98387947744,101114.88779696517,101354.8311419381,101383.15062969083,101122.94997224663,101765.73808701486
2004-07-23,98661.39877306717,101442.84600958772,101442.84600958772,100380.59835024996,100974.5964714727,100332.89209490069,100692.07920292002,100618.3819678534,100160.79103347768,100920.55696284556
2004-07-30,100363.77431861467,101509.09305169333,101509.09305169333,100696.68942580467,101126.22238389998,100566.19367770036,100843.28088053856,100799.84080971777,100703.98490709023,101328.06871534903
2004-08-06,96750.90503287788,102930.1001789676,102930.1001789676,101206.71681222622,102211.77156295827,101573.72151682887,101925.79279676378,101730.49086500896,100550.44415073635,101713.62945079837
