Strategy,Total_Return_%,CAGR_%,Sharpe,Sortino,Max_DD_%,Calmar,Win_Rate_%,Avg_Up_Week_%,Avg_Dn_Week_%,Beta,Alpha_%,AvgDeploy_%,Deploy_Efficiency,Best_Year_%,Best_Year,Worst_Year_%,Worst_Year
Buy_Hold_SPY,906.19,10.77,0.565,0.525,-54.61,0.197,57.33,1.656,-1.695,1.0,-0.0,100.0,-0.0,33.94,2013,-39.4,2008
Sys_E_Original,49921.44,31.69,1.213,1.338,-26.78,1.184,58.43,2.466,-2.066,0.533,24.027,,,184.02,2020,-20.82,2022
Sys_E_Trap_3Tier,12161.68,23.74,1.09,1.224,-34.17,0.695,57.16,2.076,-1.727,0.438,18.067,,,151.04,2020,-25.41,2022
R1_Linear,9648.48,22.49,1.222,1.311,-26.95,0.834,59.37,1.765,-1.556,0.498,15.751,57.82,0.2724,117.82,2020,-24.95,2022
R2_Dual_Score,3146.42,16.67,1.187,1.267,-25.49,0.654,58.94,1.324,-1.144,0.311,12.49,41.29,0.3025,77.4,2020,-23.25,2022
R3_Vol_Adj,4339.31,18.29,1.248,1.332,-25.42,0.72,59.2,1.402,-1.204,0.28,14.321,44.41,0.3225,61.34,2020,-23.16,2022
R4_Regime_Mom,3060.93,16.53,1.153,1.254,-25.05,0.66,59.28,1.313,-1.153,0.279,12.781,41.45,0.3083,81.94,2020,-22.52,2022
R5_Convex,4492.84,18.47,1.216,1.311,-25.11,0.736,59.63,1.422,-1.252,0.352,13.68,45.65,0.2997,94.43,2020,-22.88,2022
R6_Concave,26502.59,28.06,1.201,1.281,-29.8,0.942,58.09,2.322,-1.982,0.727,18.392,75.07,0.245,148.99,2020,-27.84,2022
R7_Full_Kelly,1200.4,12.03,1.108,1.191,-20.73,0.58,58.18,0.989,-0.835,0.123,10.314,26.18,0.394,41.85,2020,-17.93,2022
