Date,Buy_Hold,Sys_E_Original,Sys_E_Trap,Sys_E_Trap_Full
2004-01-02,100000.0,100000.0,100000.0,100000.0
2004-01-09,101042.90121052292,101978.8224196138,101978.8224196138,101978.8224196138
2004-01-16,102697.15544519827,102488.32313958541,102488.32313958541,102488.32313958541
2004-01-23,102876.94992317166,102313.28830928144,102313.28830928144,102313.28830928144
2004-01-30,102022.84586428154,101853.2550407925,101853.2550407925,101853.2550407925
2004-02-06,102894.90347144754,102268.03340640901,102268.03340640901,102268.03340640901
2004-02-13,103506.28757502574,102952.4142891252,102952.4142891252,102952.4142891252
2004-02-20,103281.45900913818,102661.2520951158,102661.2520951158,102661.2520951158
2004-02-27,103407.30996381526,103469.34882649417,103469.34882649417,103469.34882649417
2004-03-05,104630.06781116307,104508.6928654848,104508.6928654848,104508.6928654848
2004-03-12,101213.74481387982,104760.13290083683,104760.13290083683,104760.13290083683
2004-03-19,100197.2093162029,104676.39048716356,104676.39048716356,104676.39048716356
2004-03-26,100170.12877656463,104373.27898702394,104373.27898702394,104373.27898702394
2004-04-02,103427.03503935899,102728.82691526547,102728.82691526547,102728.82691526547
2004-04-09,103183.45521993459,102412.58655532246,102412.58655532246,102412.58655532246
2004-04-16,102696.24378204289,101498.75753856571,101498.75753856571,101498.75753856571
2004-04-23,103174.43182665802,100810.05873838144,100810.05873838144,100810.05873838144
2004-04-30,100106.97538343724,100271.87514020884,100271.87514020884,100271.87514020884
2004-05-07,99204.79145290928,98487.95364938154,98487.95364938154,98487.95364938154
2004-05-14,99276.99931873899,98690.40118605796,98690.40118605796,98690.40118605796
2004-05-21,99069.47163318653,98908.53080110719,98908.53080110719,98908.53080110719
2004-05-28,101821.14039115323,99964.23343181636,99964.23343181636,99964.23343181636
2004-06-04,101929.41075066345,99145.07785472958,99145.07785472958,99145.07785472958
2004-06-11,103165.39807357287,99210.72363718119,99210.72363718119,99210.72363718119
2004-06-18,102890.03436141311,99796.2429996979,99796.2429996979,99796.2429996979
2004-06-25,103080.16792835323,100360.60760812907,100360.60760812907,100360.60760812907
2004-07-02,102210.91782931345,101548.48458438498,101548.48458438498,101548.48458438498
2004-07-09,101169.60166950387,101477.81122369586,101477.81122369586,101477.81122369586
2004-07-16,100246.03509405877,102094.59516943025,102094.59516943025,102094.59516943025
2004-07-23,98661.39877306715,101442.84600958771,101442.84600958771,101442.84600958771
2004-07-30,100363.77431861467,101509.09305169334,101509.09305169334,101509.09305169334
2004-08-06,96750.90503287788,102930.1001789676,102930.1001789676,102930.1001789676
2004-08-13,97058.73638513956,102875.8623352413,102875.8623352413,102875.8623352413
